Step,Vehicle,	Distance,C02 emissions,
1,car,0.0,2624.722222222222,
2,car,1.9600102187832817,3401.955279171204,
3,car,5.252950762817635,3426.718181674367,
4,car,10.172232558694668,4261.855834565573,
5,car,16.54664756078273,4534.45794660981,
6,car,25.280625285627323,7462.21985258911,
7,car,35.36494636719581,5664.150937553686,
8,car,46.96733169124928,6767.20853204055,
9,car,60.46040622528859,8953.113011114398,
10,car,74.07276009085555,2736.331594001781,
11,car,87.11633291599989,0.0,
12,car,100.03544035746182,0.0,
13,car,112.9240182444794,0.0,
14,car,126.16376731543234,3494.8471655046724,
15,car,138.77643649285307,0.0,
16,car,152.016185563806,4447.052614762723,
17,car,164.62885474122672,0.0,
18,car,177.53493484523906,3244.797125385502,
19,car,190.26980690361975,0.0,
20,car,203.90910847854593,5530.891099976472,
21,car,217.14885754949887,0.0,
22,car,230.3886066204518,2282.898780641202,
23,car,243.00127579787252,0.0,
24,car,255.90735590188487,3244.797125385502,
25,car,268.64222796026553,0.0,
26,car,281.8819770312184,4025.3107663986975,
27,car,295.12172610217135,2282.898780641202,
28,car,307.7343952795921,0.0,
29,car,320.64047538360444,3244.797125385502,
30,car,333.3753474419851,0.0,
31,car,347.01464901691133,5530.891099976472,
32,car,359.6447312258049,0.0,
33,car,372.4425343204595,2809.420097476479,
34,car,385.9356088544988,4748.5958901061695,
35,car,399.54796272006575,2736.331594001781,
36,car,412.78771179101864,0.0,
37,car,425.4003809684394,0.0,
38,car,438.3064610724517,3244.797125385502,
39,car,451.0413331308324,0.0,
40,car,464.6806347057586,5530.891099976472,
41,car,477.3107169146522,0.0,
42,car,490.1085200093068,2809.420097476479,
43,car,503.6015945433461,4748.5958901061695,
44,car,517.2139484089131,2736.331594001781,
45,car,530.2575212340574,0.0,
46,car,545.261104277985,10110.57179591382,
47,car,561.5976176471637,8276.210531203793,
48,car,579.5604722681851,10442.001385757761,
49,car,599.4833371079898,13334.334309358803,
50,car,621.0469324452187,12699.405891597093,
51,car,641.9757191163748,0.0,
52,car,663.5393144536037,7045.209289564033,
53,car,684.4758298973004,0.0,
54,car,705.7057562675886,5031.9277429944605,
55,car,726.7644745922453,0.0,
56,car,748.7276224334474,8739.599449037947,
57,car,769.681550908617,0.0,
58,car,790.8032002695476,4309.684727467485,
59,car,812.6201210698629,7484.37406489848,
60,car,834.5563212017057,4237.939265210318,
61,car,856.1199165389346,0.0,
62,car,877.0564319826314,0.0,
63,car,898.2863583529197,5031.9277429944605,
64,car,919.2228737966165,0.0,
65,car,940.7864691338453,7001.766550700211,
66,car,962.3500644710742,3477.0065815786897,
67,car,983.9136598083032,3477.0065815786897,
68,car,1004.8501752519999,0.0,
69,car,1026.080101622288,5031.9277429944605,
70,car,1043.5918915166137,0.0,
71,car,1056.6036814109393,0.0,
72,car,1065.208462192469,0.0,
73,car,1069.6288643024457,0.0,
74,car,1076.0092766312055,5376.246755548301,
75,car,1083.6231848283126,4540.004146558153,
76,car,1093.1971032442034,6993.440878169498,
77,car,1104.103951985345,5932.979592028755,
78,car,1116.5303866862587,7146.738085746448,
79,car,1128.7856133415405,0.0,
80,car,1141.945269513368,5379.142592183784,
81,car,1154.095706319163,0.0,
82,car,1166.228730093485,0.0,
83,car,1178.6551647943986,3174.9642611819136,
84,car,1190.9103914496804,0.0,
85,car,1204.070047621508,5379.142592183784,
86,car,1216.8301512893622,0.0,
87,car,1229.5902549572165,2247.2376993910716,
88,car,1241.7232787315386,0.0,
89,car,1254.149713432452,3174.9642611819136,
90,car,1266.404940087734,0.0,
91,car,1279.5645962595615,5379.142592183784,
92,car,1291.7150330653562,0.0,
93,car,1303.8480568396783,0.0,
94,car,1316.2744915405917,3174.9642611819136,
95,car,1329.0345952084458,3357.0652914464076,
96,car,1341.1676189827679,0.0,
97,car,1353.5940536836815,3174.9642611819136,
98,car,1365.8492803389634,0.0,
99,car,1379.0089365107908,5379.142592183784,
100,car,1391.1593733165857,0.0,
101,car,1403.4775310081416,2756.117326196855,
102,car,1416.2376346759959,3717.209100060763,
103,car,1428.3706584503177,0.0,
104,car,1440.7970931512314,3174.9642611819136,
105,car,1453.0523198065134,0.0,
106,car,1466.2119759783407,5379.142592183784,
107,car,1478.3624127841356,0.0,
108,car,1490.6805704756914,2756.117326196855,
109,car,1503.6939996066321,4624.099061022868,
110,car,1516.8267080691003,2682.951432591975,
111,car,1528.9597318434223,0.0,
112,car,1541.7198355112764,4332.989259226878,
113,car,1553.8528592855985,0.0,
114,car,1566.2792939865121,3174.9642611819136,
115,car,1578.534520641794,0.0,
116,car,1591.294624309648,3926.5261399216956,
117,car,1603.42764808397,0.0,
118,car,1615.8540827848838,3174.9642611819136,
119,car,1628.1093094401656,0.0,
120,car,1640.86941310802,3926.5261399216956,
121,car,1653.2958478089336,0.0,
122,car,1665.5510744642154,0.0,
123,car,1678.7107306360429,5379.142592183784,
124,car,1690.8611674418378,0.0,
125,car,1703.1793251333936,2756.117326196855,
126,car,1716.1927542643343,4624.099061022868,
127,car,1729.3254627268025,2682.951432591975,
128,car,1741.889390148848,0.0,
129,car,1754.3288521872112,0.0,
130,car,1766.7377846711302,0.0,
131,car,1778.8630796729115,0.0,
132,car,1792.0725628420712,6013.696479975926,
133,car,1804.6835047843176,0.0,
134,car,1817.9490716902092,4548.542589138547,
135,car,1830.726877872532,0.0,
136,car,1843.5343060707241,2349.4878173374236,
137,car,1856.5284505182453,2896.6212674269436,
138,car,1868.7786993750885,0.0,
139,car,1881.5346232971233,3928.33474183924,
140,car,1894.4002139996337,2622.5525834841415,
141,car,1906.822310338689,0.0,
142,car,1919.2566940898157,2264.9063606049635,
143,car,1932.5589036591905,5296.944684758048,
144,car,1945.0312750483029,0.0,
145,car,1957.8110755263235,3272.7597006900282,
146,car,1971.0776823042306,3968.4575364912707,
147,car,1984.231250868098,0.0,
148,car,1996.884737910739,0.0,
149,car,2009.7318977212437,2902.018394354553,
150,car,2022.9368517769879,3511.7507838550646,
151,car,2035.0572108285423,0.0,
152,car,2047.7461757845176,4122.971513953427,
153,car,2059.8791995588394,0.0,
154,car,2072.305634259753,3174.9642611819136,
155,car,2085.065737927607,3357.0652914464076,
156,car,2097.198761701929,0.0,
157,car,2109.625196402843,3174.9642611819136,
158,car,2121.8804230581245,0.0,
159,car,2134.7828447615066,4434.108635201582,
160,car,2143.185266464888,0.0,
161,car,2147.08768816827,0.0,
162,car,2153.0063623783744,5242.441812795307,
163,car,2158.6717111253934,0.0,
164,car,2166.297070091195,5987.645819358713,
165,car,2175.2553593822486,5204.916256992918,
166,car,2185.839989925144,6618.0101608144105,
167,car,2197.879753674251,6767.206025025316,
168,car,2211.519055249177,8002.217510811553,
169,car,2224.1491374580705,0.0,
170,car,2236.946940552725,2809.420097476479,
171,car,2250.4400150867646,4748.5958901061695,
172,car,2264.0523689523316,2736.331594001781,